3360.0;1.0;ня-1
3313.0;2.0;ня-2
4986.0;2.0;ня-8
3360.0;1.0;ня-11
4374.0;1.0;нт-1
4249.0;7.0;нт-2
4413.0;1.0;нт-3
4399.0;1.0;нт-4
2363.0;2.0;нт-5
2150.0;3.0;нт-6
4224.0;1.0;нт-7
2313.0;2.0;нт-8
2263.0;5.0;нт-9
4174.0;1.0;нт-10
2100.0;1.0;нт-11
2213.0;3.0;нт-12
2163.0;3.0;нт-13
4274.0;2.0;нт-14
2050.0;1.0;нт-15
2338.0;1.0;нт-16
3897.0;2.0;нт-17
1846.0;1.0;нт-18
1936.0;1.0;нт-19
1836.0;1.0;нт-20
5907.0;2.0;нт-21
5997.0;1.0;нт-22
5807.0;1.0;нт-23
3947.0;2.0;нт-24
3413.0;1.0;о-1
590.0;29.0;о-4
512.0;4.0;о-5
1174.0;1.0;о-12
408.0;3.0;о-15
532.0;1.0;о-17
393.0;7.0;о-18
3413.0;1.0;о-19
2126.0;1.0;п-1
2974.0;1.0;п-8
4986.0;1.0;п-9
2300.0;1.0;п-12
900.0;2.0;по-1
1300.0;2.0;по-3
2300.0;2.0;по-5
2100.0;2.0;по-6
2353.0;1.0;я-1
2365.0;1.0;я-2
363.0;1.0;я-3
2584.0;1.0;я-4
2714.0;1.0;я-8
846.0;8.0;я-10
712.0;1.0;я-11
792.0;1.0;я-13
3026.0;1.0;я-14
3095.0;1.0;я-16
2946.0;2.0;я-18
2358.0;9.0;я-26
208.0;4.0;я-27
3095.0;1.0;я-35
2994.0;1.0;я-36
2982.0;1.0;я-37
685.0;1.0;я-38
537.0;1.0;я-39
389.0;1.0;я-40
2486.0;1.0;я-41
2474.0;1.0;я-42
2353.0;1.0;я-43
