2126.0;2.0;ня-3
2155.0;1.0;ня-4
2139.0;2.0;ня-5
2155.0;1.0;ня-6
2974.0;2.0;ня-7
3313.0;1.0;ня-9
3360.0;1.0;ня-10
900.0;3.0;по-2
1300.0;2.0;по-4
2591.0;6.0;я-5
2591.0;4.0;я-5
441.0;1.0;я-6
441.0;3.0;я-6
2624.0;1.0;я-7
2772.0;1.0;я-9
2920.0;1.0;я-12
3068.0;1.0;я-15
3095.0;1.0;я-17
2946.0;3.0;я-19
3095.0;2.0;я-20
3068.0;1.0;я-21
2920.0;1.0;я-22
2772.0;1.0;я-23
2624.0;1.0;я-24
846.0;2.0;я-25
3027.0;1.0;я-28
2880.0;1.0;я-29
582.0;1.0;я-30
2660.0;1.0;я-31
2607.0;1.0;я-32
2501.0;1.0;я-33
2353.0;1.0;я-34
